customer_id,Segment_D4,cluster,cluster_name,recommended_action,Recency,Frequency,Monetary
C1117,G7 Hibernating,3,穩定中段,推次高規則 + 定期 Banner 維繫,75,0,45044
C1369,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",108,0,12006
C0423,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,39,10,63291
C0414,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",41,9,14304
C0452,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,37,8,16951
C0862,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,20,9,61382
C1064,G7 Hibernating,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",67,2,23423
C0742,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,28,10,41033
C1273,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",77,0,7169
C0260,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,24,9,56393
C0889,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,11,10,6887
C1433,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,219,0,12665
C0713,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,15,10,27761
C1383,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,312,1,4078
C0071,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,11,18,51566
C1269,G7 Hibernating,3,穩定中段,推次高規則 + 定期 Banner 維繫,119,3,26989
C1492,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,299,0,12197
C0608,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,23,9,29470
C0434,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,32,10,31087
C0052,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,19,10,80441
C1200,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",90,4,18865
C1129,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,86,0,10592
C1191,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",66,2,10251
C1250,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",62,1,10648
C1420,G8 Lost,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,251,3,3562
C0433,G3 Big Spenders,3,穩定中段,推次高規則 + 定期 Banner 維繫,26,4,48222
C1453,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,153,0,15369
C1471,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",95,0,5372
C1235,G7 Hibernating,3,穩定中段,推次高規則 + 定期 Banner 維繫,108,2,36305
C1282,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,106,0,11044
C1086,G7 Hibernating,3,穩定中段,推次高規則 + 定期 Banner 維繫,82,3,37764
C0611,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",44,6,49877
C1285,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",60,2,8158
C1042,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,64,4,10447
C0221,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,18,9,24107
C0340,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,36,9,36715
C0424,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,22,8,79103
C0429,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,11,10,83088
C1106,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,67,0,11881
C0077,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,28,10,43558
C1392,G7 Hibernating,0,沉睡客戶,大優惠喚醒 + 個人化召回簡訊,250,0,25263
C0440,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,5,9,34794
C1337,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",109,3,6159
C0865,G6 At Risk,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,52,11,28993
C1081,G7 Hibernating,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",62,3,50696
C0355,G2 Loyal,3,穩定中段,推次高規則 + 定期 Banner 維繫,17,8,21655
C0366,G2 Loyal,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,38,11,23636
C0310,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,29,8,71869
C0737,G5 Potential Loyalists,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",20,6,16545
C0999,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",105,3,18895
C0622,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,19,9,93771
C0544,G5 Potential Loyalists,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,18,7,57117
C1141,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",41,2,11997
C1297,G8 Lost,2,流失高風險,"加碼折扣 + 主動關懷,搶在流失前挽留",105,2,4311
C0555,G5 Potential Loyalists,1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,7,6,120455
C0680,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,39,4,10016
C0050,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,2,13,193062
C0491,G8 Lost,3,穩定中段,推次高規則 + 定期 Banner 維繫,18,12,10460
C0317,G5 Potential Loyalists,3,穩定中段,推次高規則 + 定期 Banner 維繫,3,5,32501
C0905,G7 Hibernating,3,穩定中段,推次高規則 + 定期 Banner 維繫,50,2,25717
C0637,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,20,11,36163
C0561,G1 VIP(Champions),1,VIP 高頻高額,推 D13 Top 規則加價購 / 專屬客服,8,8,40795
